,Sid,Date,Close,returns_percent,states_value,state,portfolio_value
0,FIBBG000B9XRY4,2023-01-03,124.2163,,-1,Bear,0
1,FIBBG000B9XRY4,2023-01-04,125.4975,0.010314266324145852,1,Bull,0
2,FIBBG000B9XRY4,2023-01-05,124.1666,-0.010604992131317355,-1,Bear,0
3,FIBBG000B9XRY4,2023-01-06,128.7352,0.036794113714960296,1,Bull,0
4,FIBBG000B9XRY4,2023-01-09,129.2616,0.004089013727403191,0,Flat,0
5,FIBBG000B9XRY4,2023-01-10,129.8377,0.0044568533887869655,0,Flat,0
6,FIBBG000B9XRY4,2023-01-11,132.5788,0.02111174181304805,1,Bull,1
7,FIBBG000B9XRY4,2023-01-12,132.4994,-0.0005988891134932025,0,Flat,1
8,FIBBG000B9XRY4,2023-01-13,133.8402,0.010119291106223888,1,Bull,2
9,FIBBG000B9XRY4,2023-01-17,135.0121,0.008755964202085723,0,Flat,2
10,FIBBG000B9XRY4,2023-01-18,134.2871,-0.005369889069201903,0,Flat,2
11,FIBBG000B9XRY4,2023-01-19,134.3467,0.00044382520733554447,0,Flat,2
12,FIBBG000B9XRY4,2023-01-20,136.9289,0.019220420002873165,1,Bull,3
13,FIBBG000B9XRY4,2023-01-23,140.1468,0.02350051742181537,1,Bull,3
14,FIBBG000B9XRY4,2023-01-24,141.5571,0.010063019633698222,1,Bull,3
15,FIBBG000B9XRY4,2023-01-25,140.8917,-0.004700576657758638,0,Flat,3
16,FIBBG000B9XRY4,2023-01-26,142.9774,0.014803568982417012,1,Bull,4
17,FIBBG000B9XRY4,2023-01-27,144.9339,0.013683980824941603,1,Bull,4
18,FIBBG000B9XRY4,2023-01-30,142.0239,-0.02007811836982236,-1,Bear,4
19,FIBBG000B9XRY4,2023-01-31,143.3051,0.009021016885186315,0,Flat,4
20,FIBBG000B9XRY4,2023-02-01,144.4373,0.00790062600702964,0,Flat,4
21,FIBBG000B9XRY4,2023-02-02,149.7905,0.037062448550339945,1,Bull,5
22,FIBBG000B9XRY4,2023-02-03,153.4454,0.02440007877669143,1,Bull,5
23,FIBBG000B9XRY4,2023-02-06,150.6943,-0.017928852868838087,-1,Bear,5
24,FIBBG000B9XRY4,2023-02-07,153.5944,0.01924492167255171,1,Bull,5
25,FIBBG000B9XRY4,2023-02-08,150.883,-0.017652987348497063,-1,Bear,5
26,FIBBG000B9XRY4,2023-02-09,149.8402,-0.006911315390070449,0,Flat,5
27,FIBBG000B9XRY4,2023-02-10,150.2082,0.002455949738454667,0,Flat,5
28,FIBBG000B9XRY4,2023-02-13,153.0332,0.018807228899620585,1,Bull,6
29,FIBBG000B9XRY4,2023-02-14,152.3866,-0.004225226944218683,0,Flat,6
30,FIBBG000B9XRY4,2023-02-15,154.5053,0.01390345345325651,1,Bull,7
31,FIBBG000B9XRY4,2023-02-16,152.8939,-0.010429415689947227,-1,Bear,7
32,FIBBG000B9XRY4,2023-02-17,151.7401,-0.007546409634393457,0,Flat,7
33,FIBBG000B9XRY4,2023-02-21,147.6917,-0.02667982952429855,-1,Bear,6
34,FIBBG000B9XRY4,2023-02-22,148.1194,0.002895897332077671,0,Flat,6
