Sid,Date,Close,returns_percent,states_value,state,portfolio_value
FIBBG000B9XRY4,2023-03-31,164.0245,0.0156441565839824,1,Bull,7
FIBBG000B9XRY4,2023-04-03,165.2877,0.0077012885270189,0,Flat,7
FIBBG000B9XRY4,2023-04-04,164.7506,-0.0032494855939069,0,Flat,7
FIBBG000B9XRY4,2023-04-05,162.8905,-0.0112903989424013,-1,Bear,6
FIBBG000B9XRY4,2023-04-06,163.7858,0.0054963303568961,0,Flat,6
FIBBG000B9XRY4,2023-04-10,161.1697,-0.0159726911612605,-1,Bear,5
FIBBG000B9XRY4,2023-04-11,159.9463,-0.0075907568233979,0,Flat,5
FIBBG000B9XRY4,2023-04-12,159.25,-0.0043533360884247,0,Flat,5
FIBBG000B9XRY4,2023-04-13,164.681,0.0341036106750393,1,Bull,6
FIBBG000B9XRY4,2023-04-14,164.3328,-0.0021143908526182,0,Flat,6
FIBBG000B9XRY4,2023-04-17,164.3527,0.000121095727694,0,Flat,6
FIBBG000B9XRY4,2023-04-18,165.5861,0.0075045922579914,0,Flat,6
FIBBG000B9XRY4,2023-04-19,166.74,0.0069685800921697,0,Flat,6
FIBBG000B9XRY4,2023-04-20,165.7652,-0.0058462276598297,0,Flat,6
FIBBG000B9XRY4,2023-04-21,164.1438,-0.00978130512315,0,Flat,6
FIBBG000B9XRY4,2023-04-24,164.4522,0.0018788403826401,0,Flat,6
FIBBG000B9XRY4,2023-04-25,162.9005,-0.0094355685117013,0,Flat,6
FIBBG000B9XRY4,2023-04-26,162.8905,-6.138716578519345e-05,0,Flat,6
FIBBG000B9XRY4,2023-04-27,167.5158,0.0283951488883637,1,Bull,7
FIBBG000B9XRY4,2023-04-28,168.7791,0.0075413781864157,0,Flat,7
FIBBG000B9XRY4,2023-05-01,168.6896,-0.0005302789267153,0,Flat,7
FIBBG000B9XRY4,2023-05-02,167.6452,-0.0061912530470166,0,Flat,7
FIBBG000B9XRY4,2023-05-03,166.5609,-0.006467826099405,0,Flat,7
FIBBG000B9XRY4,2023-05-04,164.9098,-0.0099128907204512,0,Flat,7
FIBBG000B9XRY4,2023-05-05,172.6485,0.0469268654743382,1,Bull,8
FIBBG000B9XRY4,2023-05-08,172.5788,-0.000403710428993,0,Flat,8
FIBBG000B9XRY4,2023-05-09,170.858,-0.0099710972610772,0,Flat,8
FIBBG000B9XRY4,2023-05-10,172.6335,0.0103916702759015,1,Bull,9
FIBBG000B9XRY4,2023-05-11,172.8275,0.0011237679824598,0,Flat,9
FIBBG000B9XRY4,2023-05-12,171.8912,-0.0054175406113031,0,Flat,9
FIBBG000B9XRY4,2023-05-15,171.3932,-0.0028971814729316,0,Flat,9
FIBBG000B9XRY4,2023-05-16,171.3932,0.0,0,Flat,9
FIBBG000B9XRY4,2023-05-17,172.0107,0.0036028267165792,0,Flat,9
FIBBG000B9XRY4,2023-05-18,174.3614,0.0136660103121491,1,Bull,10
FIBBG000B9XRY4,2023-05-19,174.471,0.0006285794906441,0,Flat,10
FIBBG000B9XRY4,2023-05-22,173.5148,-0.0054805669710152,0,Flat,10
FIBBG000B9XRY4,2023-05-23,170.8852,-0.0151549032128672,-1,Bear,9
FIBBG000B9XRY4,2023-05-24,171.1641,0.0016320898474531,0,Flat,9
FIBBG000B9XRY4,2023-05-25,172.3095,0.0066918238111848,0,Flat,9
FIBBG000B9XRY4,2023-05-26,174.7399,0.0141048520249898,1,Bull,10
FIBBG000B9XRY4,2023-05-30,176.6026,0.0106598435732193,1,Bull,10
FIBBG000B9XRY4,2023-05-31,176.5528,-0.0002819890533888,0,Flat,10
FIBBG000B9XRY4,2023-06-01,179.3816,0.0160224023634856,1,Bull,11
FIBBG000B9XRY4,2023-06-02,180.2382,0.004775294679053,0,Flat,11
FIBBG000B9XRY4,2023-06-05,178.8736,-0.0075710920326545,0,Flat,11
FIBBG000B9XRY4,2023-06-06,178.5051,-0.0020601139575656,0,Flat,11
FIBBG000B9XRY4,2023-06-07,177.1205,-0.0077566411267801,0,Flat,11
FIBBG000B9XRY4,2023-06-08,179.8597,0.0154651776615355,1,Bull,12
FIBBG000B9XRY4,2023-06-09,180.2482,0.0021600169465421,0,Flat,12
FIBBG000B9XRY4,2023-06-12,183.0671,0.0156389911244606,1,Bull,13
FIBBG000B9XRY4,2023-06-13,182.5889,-0.0026121569632119,0,Flat,13
FIBBG000B9XRY4,2023-06-14,183.2264,0.0034914499183686,0,Flat,13
FIBBG000B9XRY4,2023-06-15,185.2783,0.0111987137224766,1,Bull,14
FIBBG000B9XRY4,2023-06-16,184.1926,-0.0058598335584901,0,Flat,14
FIBBG000B9XRY4,2023-06-20,184.2823,0.0004869902482509,0,Flat,14
FIBBG000B9XRY4,2023-06-21,183.2364,-0.0056755315079092,0,Flat,14
FIBBG000B9XRY4,2023-06-22,186.2644,0.0165251009078981,1,Bull,15
FIBBG000B9XRY4,2023-06-23,185.9457,-0.0017110086522169,0,Flat,15
FIBBG000B9XRY4,2023-06-26,184.5412,-0.0075532803393678,0,Flat,15
FIBBG000B9XRY4,2023-06-27,187.3203,0.015059509746333,1,Bull,16
FIBBG000B9XRY4,2023-06-28,188.5056,0.006327664433593,0,Flat,16
FIBBG000B9XRY4,2023-06-29,188.8442,0.0017962331092551,0,Flat,16
FIBBG000B9XRY4,2023-06-30,193.207,0.0231026422839567,1,Bull,17
FIBBG000B9XRY4,2023-07-03,191.703,-0.0077843970456556,0,Flat,17
FIBBG000B9XRY4,2023-07-05,190.5774,-0.005871582604341,0,Flat,17
FIBBG000B9XRY4,2023-07-06,191.0555,0.0025086920065022,0,Flat,17
FIBBG000B9XRY4,2023-07-07,189.93,-0.0058909583864373,0,Flat,17
FIBBG000B9XRY4,2023-07-10,187.8681,-0.0108561048807455,-1,Bear,16
FIBBG000B9XRY4,2023-07-11,187.3402,-0.0028099501724879,0,Flat,16
FIBBG000B9XRY4,2023-07-12,189.0235,0.0089852578357448,0,Flat,16
FIBBG000B9XRY4,2023-07-13,189.7905,0.0040576965297965,0,Flat,16
FIBBG000B9XRY4,2023-07-14,189.9399,0.0007871837631492,0,Flat,16
FIBBG000B9XRY4,2023-07-17,193.2269,0.0173054739946688,1,Bull,17
FIBBG000B9XRY4,2023-07-18,192.968,-0.0013398755556292,0,Flat,17
FIBBG000B9XRY4,2023-07-19,194.3326,0.0070716388209445,0,Flat,17
FIBBG000B9XRY4,2023-07-20,192.3703,-0.010097636732077,-1,Bear,16
FIBBG000B9XRY4,2023-07-21,191.185,-0.0061615540444652,0,Flat,16
FIBBG000B9XRY4,2023-07-24,191.9918,0.0042199963386249,0,Flat,16
FIBBG000B9XRY4,2023-07-25,192.8584,0.0045137344407416,0,Flat,16
FIBBG000B9XRY4,2023-07-26,193.7349,0.0045447851895485,0,Flat,16
FIBBG000B9XRY4,2023-07-27,192.46,-0.0065806418977685,0,Flat,16
FIBBG000B9XRY4,2023-07-28,195.0597,0.0135077418684401,1,Bull,17
FIBBG000B9XRY4,2023-07-31,195.6773,0.0031662101397675,0,Flat,17
FIBBG000B9XRY4,2023-08-01,194.8356,-0.0043014698179093,0,Flat,17
FIBBG000B9XRY4,2023-08-02,191.8225,-0.0154648329155452,-1,Bear,16
FIBBG000B9XRY4,2023-08-03,190.418,-0.0073218730857953,0,Flat,16
FIBBG000B9XRY4,2023-08-04,181.2741,-0.0480201451543446,-1,Bear,15
FIBBG000B9XRY4,2023-08-07,178.1465,-0.0172534300266833,-1,Bear,15
FIBBG000B9XRY4,2023-08-08,179.0928,0.005311920245416,0,Flat,15
FIBBG000B9XRY4,2023-08-09,177.4891,-0.0089545755049896,0,Flat,15
FIBBG000B9XRY4,2023-08-10,177.27,-0.0012344420023539,0,Flat,15
FIBBG000B9XRY4,2023-08-11,177.3298,0.0003373385231567,0,Flat,15
FIBBG000B9XRY4,2023-08-14,178.9955,0.0093932322711692,0,Flat,15
FIBBG000B9XRY4,2023-08-15,176.9907,-0.0112002815713243,-1,Bear,14
FIBBG000B9XRY4,2023-08-16,176.113,-0.0049590176206998,0,Flat,14
FIBBG000B9XRY4,2023-08-17,173.5496,-0.0145554274812194,-1,Bear,13
FIBBG000B9XRY4,2023-08-18,174.0383,0.002815909688066,0,Flat,13
FIBBG000B9XRY4,2023-08-21,175.3848,0.0077368027612314,0,Flat,13
FIBBG000B9XRY4,2023-08-22,176.7712,0.0079049039597501,0,Flat,13
FIBBG000B9XRY4,2023-08-23,180.6512,0.0219492768052714,1,Bull,14
FIBBG000B9XRY4,2023-08-24,175.9234,-0.0261708751450308,-1,Bear,14
FIBBG000B9XRY4,2023-08-25,178.1477,0.0126435710087458,1,Bull,14
FIBBG000B9XRY4,2023-08-28,179.7236,0.0088460305690167,0,Flat,14
FIBBG000B9XRY4,2023-08-29,183.6434,0.0218101573749914,1,Bull,15
FIBBG000B9XRY4,2023-08-30,187.1643,0.0191724831929706,1,Bull,15
